X,Y,ID,CD_GEOCODI,NM_BAIRRO,NM_MUNICIP,SC_IVS e12,icon_url
-52.710707762687,-24.8004901240491,"4010","410045905000001",,ALTAMIRA DO PARANÁ,0.379994790559262,
-52.7159025416812,-24.8003780799175,"4011","410045905000002",,ALTAMIRA DO PARANÁ,0.456664893978700,
-52.7297721724933,-24.7656959152464,"4012","410045905000003",,ALTAMIRA DO PARANÁ,0.324526655942511,
-52.6814695414458,-24.789004548562,"4013","410045905000004",,ALTAMIRA DO PARANÁ,0.338267249072067,
-52.592892921334,-24.8064227833382,"4014","410045905000005",,ALTAMIRA DO PARANÁ,0.371177015482346,
-52.6195801522227,-24.8805903467209,"4015","410045905000006",,ALTAMIRA DO PARANÁ,0.400794425770406,
-52.6647621718219,-24.8619478809763,"4016","410045905000007",,ALTAMIRA DO PARANÁ,0.220007841103115,
-52.7416293517058,-24.8422099703355,"4017","410045905000008",,ALTAMIRA DO PARANÁ,0.323782778006733,
-52.6953926647978,-24.8257011337909,"4018","410045905000009",,ALTAMIRA DO PARANÁ,0.412466126546772,
-52.7892455290833,-24.797188393802,"4019","410045905000010",,ALTAMIRA DO PARANÁ,0.389816429270594,
-52.8063519305181,-24.7553718760443,"4020","410045905000011",,ALTAMIRA DO PARANÁ,0.338449895577747,
-52.7177194714419,-24.8042703492739,"4022","410045905000013",,ALTAMIRA DO PARANÁ,0.380265648893939,
-52.499621405064,-23.9282070282712,"4641","410170505000001",,ARARUNA,0.355043540083514,
-52.4953401357473,-23.928733764709,"4642","410170505000002",,ARARUNA,0.435026346587582,
-52.4892325440851,-23.9261852883645,"4643","410170505000003",,ARARUNA,0.475825419177868,
-52.4859609726514,-23.9267197119214,"4644","410170505000004",,ARARUNA,0.468969829552982,
-52.4970814955244,-23.9334661062451,"4647","410170505000007",,ARARUNA,0.436459749008970,
-52.5089453754256,-23.9219190530001,"4649","410170505000009",,ARARUNA,0.470943426261515,
-52.5329008914835,-23.9623693457234,"4651","410170505000011",,ARARUNA,0.355188801721911,
-52.5794761554027,-23.9255989595702,"4652","410170505000012",,ARARUNA,0.376167331248787,
-52.5396015246146,-23.8786914017562,"4653","410170505000013",,ARARUNA,0.413463803250685,
-49.2475967906028,-25.3408605519913,"3765","410040005000129",,ALMIRANTE TAMANDARÉ,0.423341893381399,
-49.2706784491927,-25.3427677175851,"3766","410040005000130",,ALMIRANTE TAMANDARÉ,0.441228360825772,
-49.2999536127316,-25.3768821218724,"3768","410040005000132",,ALMIRANTE TAMANDARÉ,0.440508427609948,
-53.3881762216687,-25.9522103178376,"3770","410100215000002",,AMPÉRE,0.354014306324102,
-53.3920865689767,-25.9891461093492,"3771","410100215000003",,AMPÉRE,0.255534622553845,
-53.4341849347573,-25.9784229964502,"3772","410100215000004",,AMPÉRE,0.241282938401045,
-53.4622707542748,-25.9811464290912,"3773","410100215000005",,AMPÉRE,0.293636462961485,
-53.1328517224236,-24.6475220442973,"3774","410105105000001",,ANAHY,0.452016646735249,
-53.1382065626963,-24.6471857324313,"3775","410105105000002",,ANAHY,0.364345249797421,
-53.1662621848712,-24.6374392286021,"3776","410105105000003",,ANAHY,0.387325914749926,
-53.1108716443631,-24.6118433426399,"3777","410105105000004",,ANAHY,0.224227594551063,
-53.1330599000062,-24.6759797082661,"3778","410105105000005",,ANAHY,0.278436519394577,
-53.16403322098,-24.6687390046432,"3779","410105105000006",,ANAHY,0.358154054264970,
-53.1309253335864,-24.6425143163729,"3780","410105105000007",,ANAHY,0.405352147718338,
-53.135903888528,-24.6510048967937,"3781","410105105000008",,ANAHY,0.391571507639515,
-51.4252365055476,-23.4310693809719,"3782","410150705000071",,ARAPONGAS,0.346212454938904,
-51.4311066546495,-23.4290452208567,"3784","410150705000073",,ARAPONGAS,0.431157569720972,
-51.4290697214052,-23.4333938721945,"3785","410150705000074",,ARAPONGAS,0.439109417246790,
-51.4299457295368,-23.453752432263,"3787","410150705000076",,ARAPONGAS,0.433041734544903,
-51.4237797800361,-23.487043937728,"3789","410150705000078",,ARAPONGAS,0.503001791355994,
-51.5927180809673,-24.3508174047173,"3793","410185305000005",,ARIRANHA DO IVAÍ,0.246198296766668,
-51.6015843834176,-24.3407411784656,"3794","410185305000006",,ARIRANHA DO IVAÍ,0.241327335476064,
-51.6367461750746,-24.3438096455275,"3795","410185305000007",,ARIRANHA DO IVAÍ,0.322255273693290,
-51.5327386535341,-24.3536301699534,"3796","410185305000008",,ARIRANHA DO IVAÍ,0.327239164210917,
-51.4728552466355,-24.3519311963093,"3797","410185305000009",,ARIRANHA DO IVAÍ,0.211664373124031,
-51.4895079538286,-24.4025189332759,"3798","410185305000010",,ARIRANHA DO IVAÍ,0.246538254057397,
-51.55938889875,-24.4236417400361,"3799","410185305000011",,ARIRANHA DO IVAÍ,0.232613773473622,
-50.8416285737919,-23.3727345007089,"3800","410190305000001",,ASSAÍ,0.349112309577321,
-50.8402376138014,-23.3760149223044,"3801","410190305000002",,ASSAÍ,0.378205442547719,
-50.839694681912,-23.3814085306091,"3802","410190305000003",,ASSAÍ,0.429406229223523,
-50.84272859948,-23.380129698549,"3803","410190305000004",,ASSAÍ,0.434721320776039,
-52.0058030845762,-24.0315556635307,"3804","410250505000005",,BARBOSA FERRAZ,0.450086095990251,
-52.0120167896445,-24.0380542594887,"3805","410250505000006",,BARBOSA FERRAZ,0.405207318861588,
-52.0103008511119,-24.032120997599,"3806","410250505000007",,BARBOSA FERRAZ,0.382693397572492,
-52.0148654288431,-24.0282093356505,"3807","410250505000008",,BARBOSA FERRAZ,0.443917644353223,
-52.0008343209981,-23.9902850450862,"3808","410250505000009",,BARBOSA FERRAZ,0.274527981308652,
-51.9645862248543,-23.9882196168213,"3809","410250505000010",,BARBOSA FERRAZ,0.500000000000000,
-51.9681378079283,-24.0321503962348,"3810","410250505000011",,BARBOSA FERRAZ,0.282914465950310,
-52.0025864639013,-24.0693832077715,"3811","410250505000012",,BARBOSA FERRAZ,0.354770867761036,
-52.0384125195365,-24.0988288044798,"3812","410250505000013",,BARBOSA FERRAZ,0.251387074973120,
-52.0410680015956,-24.0681750228637,"3813","410250505000014",,BARBOSA FERRAZ,0.225172967382058,
-53.4345436652901,-26.2439973397488,"3814","410260415000007",,BARRACÃO,0.344631108154049,
-50.186669343928,-23.1198746962158,"3815","410270305000001",,BARRA DO JACARÉ,0.344071930874083,
-50.1814374371591,-23.1077527575476,"3816","410270305000002",,BARRA DO JACARÉ,0.420993972462464,
-50.2017281785001,-23.1175035473593,"3817","410270305000003",,BARRA DO JACARÉ,0.443117027514366,
-50.2258174819621,-23.0911410040799,"3818","410270305000004",,BARRA DO JACARÉ,0.352514066129815,
-50.1469885338101,-23.090311645745,"3819","410270305000005",,BARRA DO JACARÉ,0.309644233553436,
-50.0955600669363,-23.1020080502557,"3820","410270305000006",,BARRA DO JACARÉ,0.307574732583233,
-50.136969543838,-23.1249611195671,"3821","410270305000007",,BARRA DO JACARÉ,0.237554762059829,
-50.1802963631514,-23.115883394359,"3822","410270305000008",,BARRA DO JACARÉ,0.424210798291214,
-53.6666470560794,-25.8798381214846,"3823","410275205000001",,BELA VISTA DA CAROBA,0.447070483196191,
-50.3130692504435,-23.3006019966438,"3824","410010305000001",,ABATIÁ,0.308770486884484,
-50.3113463022876,-23.3033983145332,"3825","410010305000002",,ABATIÁ,0.420058074311558,
-50.3187187789719,-23.3082953518811,"3826","410010305000003",,ABATIÁ,0.486894319020936,
-50.3133400038969,-23.2931510334752,"3827","410010305000004",,ABATIÁ,0.502355050239394,
-50.3044247872322,-23.3117958417351,"3828","410010305000005",,ABATIÁ,0.508265482141481,
-50.3004173296682,-23.2746900672361,"3829","410010305000006",,ABATIÁ,0.260552062899671,
-50.2672882721863,-23.2786723481965,"3830","410010305000007",,ABATIÁ,0.362085208921663,
-50.2273947646565,-23.2784451948377,"3831","410010305000008",,ABATIÁ,0.379311369055660,
-50.2626196126348,-23.3401597924687,"3832","410010305000009",,ABATIÁ,0.436160236291561,
-50.3206449062282,-23.3262899833165,"3833","410010305000010",,ABATIÁ,0.365030322472646,
-50.3747696443637,-23.3224379480247,"3834","410010305000011",,ABATIÁ,0.300166978168883,
-50.4268295792042,-23.3019302405731,"3835","410010305000012",,ABATIÁ,0.262129515235192,
-50.4087503066731,-23.287474507433,"3836","410010305000013",,ABATIÁ,0.499883941343547,
-50.3018070215525,-23.3014505974175,"3837","410010305000014",,ABATIÁ,0.503880828339785,
-48.9723009394325,-24.7293859700706,"3842","410020205000003",,ADRIANÓPOLIS,0.233510684773732,
-48.9176909005777,-24.7277829834428,"3843","410020205000004",,ADRIANÓPOLIS,0.296797230684316,
-48.9201611030191,-24.6803828018483,"3844","410020205000005",,ADRIANÓPOLIS,0.242059933212562,
-49.0568402471606,-24.6865681633843,"3845","410020205000006",,ADRIANÓPOLIS,0.342414474051427,
-48.9041756073156,-24.6735684583549,"3846","410020205000007",,ADRIANÓPOLIS,0.355006386864992,
-48.8575151213521,-24.7086570869156,"3847","410020205000008",,ADRIANÓPOLIS,0.292358422555860,
